state,political_interest,vote_if_not_compulsory,party_id,party_support_strength,care_who_wins,party_cares_about_people,parties_needed,satisfaction_democracy,gov_for_people,top_issue,second_issue,spend_health,spend_education,spend_unemployment,spend_defence,spend_pensions,spend_industry,spend_police,spend_ndis,spend_transport,spend_childcare,gender,social_class,residence_type,household_income,age_group,has_uni_degree,first_pref_vote
5,2.0,1.0,2.0,2,1.0,2.0,2.0,2.0,3.0,12.0,4.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,5.0,3.0,3.0,1.0,2.0
5,2.0,2.0,3.0,4,2.0,4.0,2.0,2.0,3.0,1.0,6.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,1.0,3.0,2.0,5.0,4.0,2.0,1.0
5,1.0,1.0,1.0,1,1.0,2.0,2.0,2.0,2.0,10.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,5.0,4.0,3.0,1.0,1.0
5,1.0,1.0,1.0,3,1.0,2.0,1.0,2.0,3.0,7.0,8.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,2.0,2.0
5,1.0,1.0,1.0,2,1.0,3.0,1.0,1.0,3.0,13.0,6.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0
5,1.0,1.0,1.0,2,1.0,3.0,4.0,1.0,3.0,10.0,6.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,5.0,2.0,4.0,2.0,1.0
5,2.0,2.0,2.0,2,2.0,4.0,1.0,2.0,2.0,4.0,6.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,5.0,3.0,4.0,1.0,3.0
5,2.0,1.0,2.0,2,1.0,4.0,4.0,3.0,3.0,8.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,5.0,3.0,4.0,2.0,2.0
5,1.0,1.0,1.0,2,1.0,3.0,1.0,2.0,3.0,10.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,3.0,4.0,2.0,1.0
5,2.0,3.0,3.0,2,2.0,4.0,3.0,4.0,2.0,12.0,10.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0
5,1.0,1.0,3.0,4,2.0,4.0,5.0,4.0,2.0,8.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,5.0,5.0,4.0,1.0,3.0
5,1.0,1.0,3.0,4,2.0,5.0,5.0,4.0,1.0,11.0,6.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,3.0,2.0,4.0,1.0,4.0,5.0,3.0,4.0,2.0,3.0
6,1.0,1.0,1.0,2,2.0,4.0,1.0,2.0,2.0,6.0,12.0,1.0,3.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,2.0,5.0,2.0,4.0,2.0,1.0
5,2.0,1.0,1.0,2,1.0,3.0,1.0,2.0,2.0,10.0,6.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,5.0,3.0,4.0,1.0,1.0
5,1.0,1.0,1.0,2,1.0,2.0,1.0,2.0,3.0,13.0,10.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,3.0,4.0,1.0,1.0
5,3.0,1.0,1.0,3,1.0,4.0,2.0,2.0,2.0,10.0,6.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0
5,1.0,1.0,2.0,2,1.0,3.0,2.0,2.0,3.0,8.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0
5,2.0,2.0,3.0,2,1.0,5.0,3.0,2.0,3.0,12.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,1.0,3.0
5,2.0,1.0,3.0,2,1.0,5.0,3.0,4.0,1.0,10.0,12.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,1.0,3.0
5,1.0,1.0,2.0,3,1.0,4.0,2.0,2.0,2.0,12.0,6.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,4.0,2.0,2.0
5,2.0,1.0,2.0,2,1.0,4.0,3.0,3.0,2.0,12.0,8.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,5.0,1.0,2.0,5.0,1.0,4.0,2.0,2.0
5,2.0,1.0,1.0,2,1.0,2.0,3.0,4.0,2.0,10.0,13.0,2.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,4.0,5.0,4.0,4.0,2.0,1.0
